knowledge_date,series_id,reference_date,value,vintage_date,collected_at
2026-07-10,CZ_HICP_CORE_INDEX,2009-10-01,64.43,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2009-11-01,64.29,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2009-12-01,64.19,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2010-01-01,64.54,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2010-02-01,64.49,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2010-03-01,64.44,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2010-04-01,64.6,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2010-05-01,64.72,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2010-06-01,64.72,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2010-07-01,64.8,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2010-08-01,64.83,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2010-09-01,64.54,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2010-10-01,64.45,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2010-11-01,64.25,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2010-12-01,64.2,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2011-01-01,64.33,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2011-02-01,64.31,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2011-03-01,64.28,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2011-04-01,64.43,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2011-05-01,64.46,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2011-06-01,64.51,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2011-07-01,64.65,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2011-08-01,64.72,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2011-09-01,64.49,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2011-10-01,64.59,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2011-11-01,64.48,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2011-12-01,64.55,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2012-01-01,65.32,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2012-02-01,65.41,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2012-03-01,65.33,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2012-04-01,65.61,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2012-05-01,65.66,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2012-06-01,65.61,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2012-07-01,65.69,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2012-08-01,65.68,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2012-09-01,65.48,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2012-10-01,65.53,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2012-11-01,65.32,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2012-12-01,65.25,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2013-01-01,65.59,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2013-02-01,65.7,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2013-03-01,65.63,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2013-04-01,65.88,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2013-05-01,65.76,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2013-06-01,65.75,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2013-07-01,65.87,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2013-08-01,65.86,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2013-09-01,65.57,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2013-10-01,65.74,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2013-11-01,65.53,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2013-12-01,65.52,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2014-01-01,65.54,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2014-02-01,65.65,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2014-03-01,65.64,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2014-04-01,66.01,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2014-05-01,66.0,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2014-06-01,66.2,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2014-07-01,66.35,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2014-08-01,66.46,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2014-09-01,66.16,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2014-10-01,66.24,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2014-11-01,66.09,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2014-12-01,66.2,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2015-01-01,66.04,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2015-02-01,66.13,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2015-03-01,66.09,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2015-04-01,66.45,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2015-05-01,66.55,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2015-06-01,66.64,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2015-07-01,66.81,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2015-08-01,66.87,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2015-09-01,66.59,2026-07-01,2026-07-01T10:00:00+00:00
